emotion,text,clean_text
sadness,"Kayanya gw kalo shopee emang jangan nitip akun orang deh, mo irit ongkir apa gmana, dulu nitip firsta pesen lenti donghan, yg datang boneka pokemon",kayaknya  kalau  shopee memang  jangan nitip akun orang deh mau  irit ongkir apa bagaimana  dulu nitip firsta pesan  lenti donghan  datang boneka pokemon
happy,Terima kasih temen2 HMJ D3 Keperawatan Stikes Al Irsyad Cilacap sudah berbagi kebahagiaan bersama mbah kakung dan mbah putri [USERNAME] [URL],terima kasih teman  hmj d keperawatan stikes al irsyad cilacap berbagi kebahagiaan bersama mbah kakung mbah putri username url
sadness,Gue nggak suka nggak seneng sama yang namanya maling. Cuma gue juga gak seneng kalau maling digebukin sampai bonyok banget apalagi sampai dibakar dan dibunuh.,suka senang  sama namanya maling cuma juga tidak senang  kalau maling digebukin bonyok sekali  sampai dibakar dibunuh
anger,"Manusia rakus bunda, menteri udah advokat dirampok juga, banyak tahu rahasia negara waktu di istana sama orba, bandit bingit",manusia rakus bunda menteri advokat dirampok banyak tahu rahasia negara waktu istana sama orba bandit bingit
anger,PLN emg php surat edaran maintain daerah a sampe jam 1 tapi skg udh jam 2.40 listrik belum hidup jg. Kalau telat dikit bayar tagihan langsung denda ini klo mati listrik mulu dapet potongan gak? [USERNAME],pln memang php surat edaran maintain daerah a jam skg jam listrik hidup kalau telat sedikit  bayar tagihan langsung denda kalau mati listrik terus   potongan username
happy,"sebagai supporter [USERNAME] gue ga suka barca, tapi sebagai pecinta sepakbola gue suka ini film, keren lahhh  #HeartOfALio [URL]",supporter username tidak suka barca sebagai pecinta sepakbola suka film keren lahhh url
anger,"Konyol bgt mbak komentar anda, main ignore aja dikira hal gitu sepele banget. Dia ga nyaman makanya di publish biar ngasi pelajaran buat orang yg mau punya niat goda biar gak nerusin niatnya klo ga pingin di permaluin. Reminder juga bua",konyol sangat  mbak komentar main ignore  dikira begitu  sepele sekali  nyaman makanya publish biar kasih  pelajaran buat orang  mau punya niat goda biar nerusin niatnya kalau tidak ingin  permaluin reminder bua
anger,"Fahri aktivis 0 nol isinya, mana reformasi mu nggak merubah apapun kecuali koar koar bebas di negeriku, mustinya Golkar loe bubarin, Harto diturunkan Golkar melenggang jaya, kata amien Raisa bodoh",fahri aktivis nol isinya mana reformasi mu merubah apapun koar koar bebas negeriku mustinya golkar kamu bubarin harto diturunkan golkar melenggang jaya kata amien raisa bodoh
anger,Thread ini dipersembahkan oleh wanita yg permisif terhadap pelecehan yg dialami wanita lainnya dengan alasan kejadian seperti itu banyak terjadi dan ga ada yg mengadukan. KHANMAEN.. [URL],thread dipersembahkan wanita  permisif pelecehan  dialami wanita lainnya alasan kejadian itu banyak terjadi tidak yang  mengadukan khanmaen url
anger,"Ada yg lebih menggelikan ketimbang kasus sexual harassment yg menimpa Via Vallen: para politisi &amp partai politik memanfaatkannya sbg ""panggung pertunjukan"" dgn dalih pembelaan korban. #HilihKinthil", lebih menggelikan ketimbang kasus sexual harassment yang  menimpa via vallen politisi amp partai politik memanfaatkannya  panggung pertunjukan  dalih pembelaan korban
happy, Ko si drummer ini lucu sih mukanya. Kek tengil tapi ngegemesin. Terus mulai dibiasin. *sereceh itu gue punya bias.,ko si drummer lucu sih mukanya kek tengil ngegemesin terus mulai dibiasin sereceh saya punya bias
sadness,Macet parah di Kemang. Disebelah mobil gw terparkir gerobak mie ayam yang luar biasa menggugah selera. Padahal baru ngeliat gerobaknya doank.,macet parah kemang disebelah mobil terparkir gerobak mie ayam luar biasa menggugah selera padahal baru ngeliat gerobaknya 
anger,"pernah ngomel karna diginiin trus bang ojolnya malah nyolot blg ""kalau ikutan macet jalan normal saya yang rugi neng bensinnya"" ""jauh mba muter baliknya rugi saya"" wth",pernah ngomel  diginiin terus  bang ojolnya malah nyolot bilang  kalau ikutan macet jalan normal yang rugi neng bensinnya jauh mba muter baliknya rugi wth
happy,"HBD my lovely wife Amie Amoy .... wish u all the best, ....semoga selalu berada didalam perlindungan  SWT, panjang umur, senantiasa bahagia bersama keluarga dan kerabat, sehat selalu, semakin banyak rejeki, dan selalu menjadi wanita yg hebat bagi keluarga.....Aamiin [URL]",happy birthday my lovely wife amie amoy wish kamu all the best semoga selalu berada didalam perlindungan swt panjang umur senantiasa bahagia bersama keluarga kerabat sehat selalu semakin banyak rejeki selalu menjadi wanita  hebat keluargaaamiin url
anger," Kesatuan yg mana bong200 hahaha Habibie mencopot jabatan PAK PRABOWO. itu ulah si wiranto, karena Wiranto dipake habibie kembali jadi PANGAB.. TRAGEDI 98 , itu yg harus bertanggung jawab PANGAB BONG200 BONGAK... yang menembak POLISI ,",kesatuan  mana bong hahaha habibie mencopot jabatan pak prabowo ulah si wiranto wiranto dipakai  habibie jadi pangab tragedi  bertanggung jawab pangab bong bongak yang menembak polisi
anger,"Baik kalau Soal HAM, Mau tanya Koruptor waktu maling mikirkan Hak Orang lain ngak ? Koruptor itu sendiri adalah Pelanggar HAM !!! Cuma Koruptor yang bela Koruptor !!! Politisi Bebal !!!",baik kalau soal ham mau tanya koruptor waktu maling mikirkan hak orang tidak  koruptor sendiri pelanggar ham cuma koruptor bela koruptor politisi bebal
anger,"Kamu belum lahir bong, tanya sama mak mu... Biar jelas.... PKI itu zaman SOEKARNO BONG berlanjut ke ORBA Lalu di basmi, bisa jadi salahsatunya keluargamu ya??",kamu lahir bong tanya sama mak mu biar jelas pki zaman soekarno bong berlanjut orba lalu basmi jadi salahsatunya keluargamu
fear,Jangan di Viralkan ntar OPOSISI yang biasa nyinyir kejang2 sakit jantung. Kalau sakit Hatinya memang sdh Kronis sulit untuk disembuhkan,jangan viralkan  oposisi biasa nyinyir kejang sakit jantung kalau sakit hatinya memang kronis sulit disembuhkan
happy,ngakak ane liatnya wkwk,terbahak-bahak   liatnya wkwk
anger,"[USERNAME] saya coba hubungi yg di cakung dan minta di wa balik untuk tanya prosedur pembelian, sudah 5 hari sejak jumat tidak difollow up. Apakah demikian service maksindo?",username coba hubungi  cakung minta saya balik tanya prosedur pembelian hari sejak jumat difollow up demikian service maksindo
sadness,Tmn nya laki gw almh th Meninggal Waktu pda hidup Ngintil aja kmna laki alh gw mlangkah ngikut Suka nlpon nelpn kekantor Perpanjangan katakata nya suamiku almh waktu jatuh cinta Ksian gk bsa dtang di rmah duka rs husada Orang nya seneng ketawa Comblang laki ku Hdhhh sedih,teman  nya laki almh th meninggal waktu pda hidup ngintil   laki alh mlangkah ngikut suka nlpon nelpn kekantor perpanjangan katakata nya suamiku almh waktu jatuh cinta kasihan  bisa dtang rmah duka rs husada orang nya senang  tertawa  comblang laki ku hdhhh sedih
sadness,"Woah... buat urusan difitnah, dimusuhin, dibikin gamau sekolah gara2 gaada yg mau temenan, trauma setiap minggu malam karena besok paginya sekolah, dibikin malu didepan banyak orang. Aku sudah melewati itu semua.",woah buat urusan difitnah dimusuhin dibikin mau sekolah gara ada  mau temenan trauma minggu malam besok paginya sekolah dibikin malu didepan banyak orang sudah melewati semua
sadness,"Rencana gak pulang mau garap project, ternyata gak tersentuh sama sekali.. Tau gini mah, pulang weh dr minggu kemaren.. hm, hikmah ramadhan: mungkin emang perlu melewati ini, yah buat belajar aja",rencana pulang mau garap project ternyata tersentuh sama sekali tahu gini mah pulang weh  minggu kemarin  hm hikmah ramadhan mungkin memang  perlu melewati yah buat belajar 
sadness,"Menurut dia tindakan itu bukan pelecehan seksual? Bener kan kata gw, ilmunya pada ga dapet. Jadi ga ngerti deh apa apa aja yang termasuk pelecehan sexual [URL]",dia tindakan bukan pelecehan seksual benar  kan kata ilmunya  jadi tidak ngerti deh apa apa  termasuk pelecehan sexual url
anger,dear [USERNAME] [USERNAME] sy kirim dokumen penting dari jkt - sby makanya sy pake YES. kirim senin 4juni seharusnya sampe selasa 5juni. skr sudah hari rabu kenapa belum sampe2 juga? kan bikin esmosi!! sy udah byr lbh pake YES kenapa gak nyampe sehari?!! no resi sy : 011060039617518,dear username username  kirim dokumen penting jakarta  sby makanya  pakai  yes kirim senin juni selasa juni sekarang  hari rabu belum juga kan bikin esmosi  bayar  lebih  pakai  yes tidak sampai  sehari no resi 
anger,"Yaelahh ente pasti dr partai sapi ? Kurang kelon ente ? Junjungan ente kaga punya nyali kalah sama Ahok berani hadapi kasus. Lebaran Telah Tiba Jik, Pulanglah... atau kaga ada peler",yaelahh  dari  partai sapi kurang kelon  junjungan  kaga punya nyali kalah sama ahok berani hadapi kasus lebaran tiba jik pulanglah kaga peler
sadness,Ada mama murid yang rikues anaknya masuk di kelas saya. Di saat yang sama banyak murid yang hopeless ketika tau bakal masuk di kelas saya karena rumor yang beredar saya guru galak,mama murid rikues anaknya masuk kelas sama banyak murid hopeless tahu bakal masuk di kelas karena rumor yang beredar guru galak
sadness,"Siapa yg melakukan itu ke aku? Ya, teman-teman yg mostly adalah perempuan juga. Udah ga heran ngeliat perempuan dijahatin sesama perempuan. Aku pun mengalami",siapa  melakukan ke ya temanteman  mostly perempuan sudah heran ngeliat perempuan dijahatin sesama perempuan pun mengalami
fear,"Tapi sekarang ini, ntah sejak kapan, pemikiran gue berubah. Kalo gue kepikiran untuk share hal yg gila, gue akan pikir 1000x untuk tulis di twitter/IG. Kenapa? Jempol netizen tak bisa dikalahkan.",sekarang entah  sejak kapan pemikiran berubah kalau  kepikiran share yang  gila akan pikir x tulis twitterig jempol netizen tak dikalahkan
anger,"Nah, yg keterlaluan adl kalo ada pjbt eselon yg menyalah2kan pelaksananya atas suatu kesalahan dokumen yg dia ttd/paraf. Istilahnya gak mau disalahkan. Pdhl tugasnya pejabat itu y neliti dokumen sblm dittd/paraf dan tgjawab atas isinya.",nah  keterlaluan adl kalau  pjbt eselon  menyalahkan pelaksananya atas suatu kesalahan dokumen  ttdparaf istilahnya mau disalahkan padahal  tugasnya pejabat y neliti dokumen  dittdparaf tgjawab atas isinya
fear,"Jd kaya kebalik gitu. Dulu socmed jd escape buat gue ekspresiin kegilaan. Skrg berhubung socmed jd lebih serem dr dunia nyata, eh jd dunia nyata yg gue jadiin escape dari socmed.",jadi kaya kebalik  dulu socmed jadi escape buat ekspresiin kegilaan sekarang  berhubung socmed jadi lebih seram   dunia nyata eh jadi dunia nyata  jadi  escape socmed
anger,Namanya juga SENGKUNI pak ! JANJI mau JALAN KAKI Jogja - Jakarta juga TIDAK DIPENUHI......................SENGKUNI...........................................SENGKUNI !!!!!,namanya sengkuni pak janji mau jalan kaki jogja jakarta tidak dipenuhisengkunisengkuni
happy,"Ku sadari satu pilihan ku bersamamu di tempat ini, jalani hari dengan semangat yang baru, walau tak seindah yg ku harapkan, tak seburuk yg ku bayangkan, ku tetap berdiri jalani hari penuh warna (yg ngerti pst pada nyanyi )",ku sadari satu pilihan ku bersamamu tempat jalani hari semangat baru tak seindah  ku harapkan tak seburuk  ku bayangkan ku tetap berdiri jalani hari penuh warna  ngerti pst nyanyi
anger,Maklum pak...........................................................Jakarta itu SARANG Gerombolan RADIKAL ! Tapi.............................ditinggal KABUR Pentolannya ke Mekkah !,maklum pakjakarta sarang gerombolan radikal tapiditinggal kabur pentolannya mekkah
sadness,Dukaku karna tak mampu katakan sedih ku karna sakit ku!! #iniserius #seriuscumatulisan #tulisandarilubuhhati #hatiyangcukupdalam #tapigakdalamdalambanget *emot mekkel sip*,dukaku  tak mampu katakan sedih ku  sakit ku emot mekkel sip
anger,"Enak ya metal bong... Bobok di hotel prodeo Di pecat Mak Mega Hahahahaha Makanya jangan sok metal lo Kelar hidup lo... Terjerat OTT, PDIP Pecat Bupati Purbalingga [URL] lewat [USERNAME]",enak metal bong tidur  hotel prodeo pecat mak mega hahahahaha makanya jangan sok metal kamu selesai  hidup kamu terjerat ott pdip pecat bupati purbalingga url lewat username
sadness,"13:23 WIB Saya benar benar kehilangan sosok laki laki yang merawat saya dari kecil, mendidik saya, merawat saya, melindungi saya, Dan saya benar benar kehilangan. Semoga tenang disana, semoga anakmu ini bisa menjadi anak yang berguna ",wib benar benar kehilangan sosok laki laki merawat dari kecil mendidik merawat melindungi dan benar benar kehilangan semoga tenang disana semoga anakmu bisa menjadi anak berguna
sadness,"video yg diatas yg tulisannya ""dulu"" itu pas kapan? Di ILC jg ya? Bahas tentang apa itu? Iya kecewa sama Pak Mahfud. #IslamSelamatkanNegeri #SedihRasanya",video  diatas  tulisannya dulu pas kapan ilc ya bahas apa iya kecewa sama pak mahfud
anger,[USERNAME] boi ini gimane nih wifi gangguan mulu ? Jan mau kalah lah ama indie home . Kalo ampe bsk masih gangguan gue pake indie home aja lah,username boi gimane nih wifi gangguan terus  jan mau kalah lah sama  indie home kalau  ampe besok gangguan pakai  indie home  lah
happy,"Baca buku ini diawal senyum, ditengah-tengah senyum miris, diakhir senyum pasrah. Nuhun bung [USERNAME]#bukugariswaktu #fiersabesari",baca buku diawal senyum ditengahtengah senyum miris diakhir senyum pasrah nuhun bung username
anger,"Gak heran sih sama driver gocar yg ngeluh macet. Sama kayak gue ngeluh pas lagi kerja. Terserah deh Pak, saya pura2 gak denger. Capek juga soalnya.",heran sih sama driver gocar  keluh  macet sama mirip  keluh  pas kerja terserah deh pak pura dengar  capai  soalnya
anger,Mardani & [USERNAME] MINGKEM TIDAK bisa JAWAB ! Makanya Masyarakat CERDAS #JanganPilihPartaiOposan MENYESATKAN !!!!!,mardani username mingkem bisa jawab makanya masyarakat cerdas menyesatkan
fear,"Itulah pentingnya materi kode etik diajarkan sejak SD, atau minimal ilmu ilmu dasar untuk berbuat baik, sopan, teratur. Lah kalo ga ya jadinya kaya gitu bablas, ga peka keadaan. gue lupa dulu BK, atau PKn atau SosUm bahas apaan, ya ada si kesananya tp ga khusus, jadi ga ngena",pentingnya materi kode etik diajarkan sejak sd minimal ilmu ilmu dasar berbuat baik sopan teratur lah kalau  jadinya kaya  bablas peka keadaan lupa dulu buku  pkn sosum bahas apaan ya ada si kesananya khusus jadi tidak ngena
anger,"Pas masuk udah bilang, iyah soalnya saya bingung ke sana di mana2 macet. Duh kenapa juga ambil orderan saya Pak. Ini belom jam kantor pulang lo. Macet jg lampu merah doang. Jalan. Belom tauk Cikampek sama JoRR nih. ",pas masuk bilang iyah soalnya bingung sana mana macet duh ambil orderan pak  jam kantor pulang kamu macet juga lampu merah  jalan belum  tahu cikampek sama jorr nih
happy,"namanya anis. udah kelar S1 walopun belom official. lagi dalam masa bahagia banget karna udah lulus, tapi masih sendiri. ya kali ada yang terpesona",namanya anis selesai  s walopun  official dalam masa bahagia sekali   lulus masih sendiri kali yang terpesona
fear,"Mbak bulan oh mbak bulan, datangnya skrng aja ya, jangan tgl 9 seperti biasanya, kalo kamu datang sperti biasanya, nanti kemungkinan ikut sholat iednya 50:50 mbak bul,",mbak bulan mbak bulan datangnya sekarang   jangan tanggal biasanya kalau  kamu datang  biasanya kemungkinan ikut sholat iednya mbak bul
happy,"Keambian siang ini buka situs online trading sekuritas. Lihat indeks saham warna warni trus klik-klik cantik bego ke klik tombol buy, submit, and success.",keambian siang buka situs online trading sekuritas lihat indeks saham warna warni terus  klikklik cantik bodoh  klik tombol buy submit and success
happy,"Cont' - Belajar prinsip. Memegang prinsip lebih teguuhh. Karena godaan yang bikin goyah integritas ternyata banyak lur - Seneng bisa berteman dengan banyak tipe, menghargai - Belajar lebih dewasa, ga gampang pundung. Bahagia disetiap keadaan wkw karakteristik. Belajar memahami",cont belajar prinsip memegang prinsip lebih teguuhh godaan bikin goyah integritas ternyata banyak lur senang  berteman banyak tipe menghargai belajar lebih dewasa gampang pundung bahagia disetiap keadaan wkw karakteristik belajar memahami
anger,"Ada korban #sexualharassment berani speak up malah dibully, dibilang lebay, ironisnya, ga sedikit kaum hawa yg ikut2an nyinyirin. Kayaknya kalian terbiasa dikirimin foto titit deh, empati buat sesama cewek jadi ga ada. #SaveViaVallen",korban berani speak up malah dibully dibilang lebay ironisnya sedikit kaum hawa  ikutan nyinyirin kayaknya kalian terbiasa dikirimin foto titit deh empati buat sesama cewek jadi ada
anger, Damai taik lo.... SOEKARNO yg membubarkan PARTAI ISLAM MASYUMI.. DIZAMAN PAK SOEHARTO DI BOLEHKAN KEMBALI.. MASYUMI MENJADI KELUARGA BESAR BULAN BINTANG LALU PARTAI BULAN BINTANG 1998 BEGOK DUNGU SOK TAU CEBONG200 [URL],damai taik kamu soekarno  membubarkan partai islam masyumi dizaman pak soeharto bolehkan masyumi menjadi keluarga besar bulan bintang lalu partai bulan bintang begok dungu sok tahu cebong url
anger,"Ada cewe kena sexual harassment dan dia berani buat speak up eh malah dinyinyirin. Yg nyinyir cewe jg. Huhu heran deh sm netijen, dimata dia semua serba salah. Dasar cebong~",cewek  kena sexual harassment berani buat speak up eh malah dinyinyirin  nyinyir cewek  huhu heran deh sama  netijen dimata dia semua serba salah dasar cebong
happy,"Orang #OldMoney dateng ke kandang, pakaiannya sederhana, cuma kaos oblong dan celana training, mau juga keliling kandang buat milih sapi. Tapi sekali transaksi mencapai 3 M. Yang epic lagi, beliau orangnya taat ibadah dan royal. Punya anak masih gadis nga pak? ",orang datang  kandang pakaiannya sederhana cuma kaos oblong celana training mau keliling kandang buat pilih  sapi sekali transaksi mencapai m epic beliau orangnya taat ibadah royal punya anak gadis nga pak
happy,Gara2 [USERNAME] jadi googling berita ini. Tp belum ada yg confirm. Duhhh menanti berita ini benar! Pasangan favorite ku dr jaman dahulu kala. [URL],gara username jadi googling berita tapi ada  confirm duhhh menanti berita benar pasangan favorite ku  jaman kala url
love,Baru liat dan bener-bener dengerin secara seksama nissa dengan sabyan nya yang lg naik daun itu. Asli ga ada rusak-rusaknya itu suara flawless bening benerrr kaya gelas beling abis dicuci pake s*unlight jadi bersih bersinar gitu deh. Heran.,baru liat benerbener dengerin seksama nissa sabyan nya lagi  naik daun asli ada rusakrusaknya suara flawless bening benerrr kaya gelas beling abis dicuci pakai  sunlight jadi bersih bersinar  deh heran
sadness,"Innalillahi wa inna ilaihi rajiun. Kabar duka kembali menyelimuti Aceh. Pewaris Kesultanan Aceh, Teungku Putro Safiatuddin Cahya Nur Alam dikabarkan meninggal dunia di Kota Mataram, Nusa Tenggara Barat (NTB), Rabu (6/6/2018) sekira pukul 06.45 WITA. [URL]",innalillahi inna ilaihi rajiun kabar duka menyelimuti aceh pewaris kesultanan aceh teungku putro safiatuddin cahya nur alam dikabarkan meninggal dunia kota mataram nusa tenggara barat ntb rabu sekira pukul wita url
sadness,"Yang pengen S2 tapi terasa sulit sekali menggapainya. Yang sudah dapat anugrah jalan mudah untuk S2 malah nggak mau. Ya Allah, kok begini dunia ini Engkau ciptakan?",ingin s terasa sulit sekali menggapainya sudah anugrah jalan mudah s malah mau allah kok begini dunia engkau ciptakan
anger,"Lambat laun kok makin ga jelas dan semakin kurang ajar. Gw sabar. Jujur ya, gw ga pernah dan ga mau scr frontal maki org. Gw blg baik2, nasehatin. Scr adek2.",lambat laun kok makin jelas semakin kurang ajar sabar jujur pernah tidak mau  frontal maki orang saya bilang  baik nasehatin  adik 
anger,Pernah suatu ketika tetangga depan rmh gw ga sengaja brpapasan pas gw mau keluar rumah. Suddenly dia ngedip mata ke gw. Diiiiiiiiiih....jijik bgt yaaa Allaaaaah...,pernah suatu tetangga depan rumah tidak sengaja brpapasan pas mau keluar rumah suddenly ngedip mata saya diiiiiiiiiihjijik sangat  yaaa allaaaaah
anger,"Walopun sakit hati, tp gw tahan utk ga nyerang balik dg makian. Pantang gw ngomong frontal. Sebisa mungkin gw tahan. Dan ngeblokir adalah solusi yg sangat2 TEPAT!",walopun sakit hati tahan  nyerang balik  makian pantang bicara  frontal sebisa mungkin saya tahan ngeblokir solusi  sangat tepat
sadness,"langsung ku block aja ya, maaf ni bagi temen temen yang sudah memilih jalan sendiri setidaknya jangan lah kayak gitu, kita ada jalan masing masing loh, jujur sedih aku liat alat musik di hancurkan gitu.",langsung ku block  maaf  teman  teman  sudah memilih jalan sendiri jangan lah mirip   ada jalan masing masing loh jujur sedih liat alat musik hancurkan 
fear,"Bukannya bersimpati aku liat akun kayak gitu malah jadi serem, malah jadi takut soalnya videonya dia menghancurkan dengan cara brutal dengan cara pake kampak terus di posting gitu. Sedih kali loh liatnya.",bukannya bersimpati liat akun mirip   malah jadi seram  malah jadi takut soalnya videonya menghancurkan cara brutal cara pakai  kampak terus posting  sedih kali loh liatnya
anger,"Ntan busuk banget, temen kok kamu gituin. Aku busuk nih, trus sadar, udah minta maap, gak dimaapin nih, yaudah terus aja aku busuk. Dan gak pernah bisa difermentasi ke hal baik lagi. Makanya, skarang biarin lah aku hidup bergelimang karma dari kalian.",ntan busuk sekali  teman  kok kamu  busuk nih terus  sadar minta maaf dimaapin nih yaudah terus  busuk tidak pernah difermentasi hal baik makanya skarang biarin lah hidup bergelimang karma kalian
happy,"Lg sibuk ngedit konten di ruang tunggu tapi kok sekumpulan nenek"" didepan sy seru banget yah. Mereka lg ghibah ternyata. Hal ini menunjukkan bahwa kapanpun dan dimanapun, ghibah itu asik ", sibuk ngedit konten ruang tunggu kok sekumpulan nenek didepan  seru sekali  yah lagi  ghibah ternyata ini menunjukkan kapanpun dimanapun ghibah asik
happy,"#MobileLegendsBangBangID Main di BRAWL langsung saja ""CHANG'E"" memimpin top kill dengan MVP sekaligus emang ini Hero GGWP, Hero baru di normal server ini top lah lebih top soalnya Hero Mage adalah role kesukaan saya selain Hero Tank. Sukanya di skill-2 nya itu loh.. Buff lagi deh [URL]",main brawl langsung change memimpin top kill mvp sekaligus memang  hero ggwp hero baru normal server top lah lebih top soalnya hero mage role kesukaan selain hero tank sukanya skill nya loh buff deh url
love,"Ada waktunya, sayang berubah jadi butuh. Perhatian berubah jadi pengertian. Percaya berubah jadi yakin. Itu semua akan terjadi kalau kamu dan dia saling melengkapi. Tidak mencari kurang. Tidak mencari salah. Tidak mencari yg lebih.",waktunya sayang berubah jadi butuh perhatian berubah jadi pengertian percaya berubah jadi yakin semua terjadi kalau kamu dia saling melengkapi mencari kurang mencari salah mencari  lebih
sadness,Anak jaman now gatau kalo dulu mau testimonial dibalesnya seminggu mana harus bikin URL :(( skrg pdkt tinggal match no match di kinder senang #RecehkanTwitter,anak jaman now tahu kalau  dulu mau testimonial dibalesnya seminggu mana bikin url sekarang  pdkt tinggal match no match kinder senang
sadness,"Ijazah mendadak nyelip tu, langsung tiba2 kebayang perjuangan dikampus, penelitian, skripsi, de el el. Emang ya kudu gak ada dulu, baru berasa.",ijazah mendadak nyelip  langsung tiba kebayang perjuangan dikampus penelitian skripsi deh  el el memang  kudu ada dulu baru berasa
sadness,"Kadang pengen gitu balik lagi jadi anak sd,pulang sekolah tidur siang,bangun2 main harvest moon /pepsi man sampe [URL] mikirin ina inu.",kadang begitu  balik jadi anak sdpulang sekolah tidur siangbangun main harvest moon pepsi man url memikirkan  ina inu
anger,"[USERNAME] [USERNAME] Tolong pencerahan kah, sy sudah lapor ke hotline dan mention kesini, tp tracking paket sy malah ke purwokerto itu!! Tujuan paket sy KAIMANA Papua Barat buka Kalimanah Purbalingga, kesalahan a di pihak anda yg salah",username username pencerahan  lapor hotline mention kesini tracking paket  malah purwokerto tujuan paket saya  kaimana papua barat buka kalimanah purbalingga kesalahan a pihak yang  salah
sadness,"Kasihan karyawan bapakku ini, mau lebaran malah jatuh sakit dan masuk rumah. Dan sekarang mudik terlalu cepat ke kampung halaman. Gusti Allah kadang memberikan hal yang tidak terpikirkan oleh manusia. Sebagai manusia ya cuma bisa menerima.",kasihan karyawan bapakku mau lebaran malah jatuh sakit masuk rumah sekarang mudik terlalu cepat kampung halaman gusti allah kadang memberikan yang terpikirkan manusia manusia cuma menerima
sadness,"Kehilangan lagi salah satu karyawan, dan tepat sebelum lebaran. Kembali lagi aku dipusingkan untuk mencari penggantinya, karena mencari karywan di pabrik tahu susah dibandingkan nyari orang untuk jd tukang parkir.",kehilangan salah satu karyawan tepat lebaran lagi dipusingkan mencari penggantinya mencari karywan pabrik tahu susah dibandingkan cari  orang jadi tukang parkir
anger,msh jg bego!!! Dia dihukum atau ditembak ga masalah dan ga ada yg bela?? Nah sibangsat Cabul kabur padahal yg bela 7jt org tolol. Masih ga berani jg balik?? Kenapa??? Kalau waras berpikir pasti kau tau jawabannya [URL], bodoh  dihukum ditembak masalah tidak  bela nah sibangsat cabul kabur padahal yang  bela jt orang tolol tidak berani balik kalau waras berpikir kamu tahu jawabannya url
happy,Masih belum terbiasa dengan twitt mereka pake English But thank you [USERNAME] for make it easier to watching them  [URL],belum terbiasa twitt pakai  english but thank you username for pakai  it easier to watching them url
happy,"[USERNAME] [USERNAME] [USERNAME] Terima kasih sudah tertawa semoga menjadi amal soleh dibulan mulia, bisa membuat sesama hambaNya ketawa bahagia",username username username terima kasih tertawa semoga menjadi amal soleh dibulan mulia membuat sesama hambanya tertawa  bahagia
happy,"Antri di bank situasyen: mbak dapet nomor antrian berapa ? 227 buk , ini ambil aja nomor antrian biar cepet ---200 *dalamhati* rejeki anak baik",antri bank situasyen mbak  nomor antrian berapa buk ambil  nomor antrian biar cepat  dalamhati rejeki anak baik
anger,"Apa sebutan yg pas untuk pasangan muda anak 1, tinggal di rmh ortu cewek, anaknya dijagain ibunya selagi mereka kerja, eh pas lebaran malah ditinggal ke rumah mertua sebelum solat Ied dan sungkeman. Smg besar pahala yg dikasih ke ibunya. Woi anaknya, sadar kek!",apa sebutan  pas pasangan muda anak tinggal rumah orangtua  cewek anaknya dijagain ibunya mereka kerja eh pas lebaran malah ditinggal rumah mertua solat ied sungkeman semoga  besar pahala  dikasih ibunya woi anaknya sadar kek
sadness,"Banyak sekali mualaf yang baru belajar Islam 1-3 tahun, tapi ilmu agamanya sudah luar biasa. Tapi saya yang dari kecil muslim, ilmu agamanya jauuh banget. Ya ini namanya malu.. banget!",banyak sekali mualaf baru belajar islam tahun ilmu agamanya luar biasa saya dari kecil muslim ilmu agamanya jauuh sekali  ini namanya malu sekali 
anger,[USERNAME] Ga usah ada liga...bagaimana persepak bolaan indonesia bisa maju kalo mau kaya gitu terus...mau perang mah di gaza sanah...mati lu masuk syurga...,username usah ligabagaimana persepak bolaan indonesia maju kalau  mau kaya  terusmau perang mah gaza sanahmati kamu masuk syurga
sadness,"Walopun lebaran msh lama nuansa maaf memaafkan sdh menyebar kemana2 .Td ke ATM,Katanya Maaf saldo anda tdk mencukupi. Gw coba telfon tmn ,eh operator jg minta maaf. Katanya Maaf pulsa anda tdk cukup utk melakukan panggilan ini #recehkantwitter",walopun lebaran  lama nuansa maaf memaafkan menyebar tadu  atmkatanya maaf saldo tidak mencukupi coba telfon teman  eh operator minta maaf katanya maaf pulsa tidak cukup  melakukan panggilan
anger,Ini yang namanya ide kebeRPihakan ala [USERNAME] [USERNAME] melalui program unggulan OKeh ngOCE melibatkan banyak warga untuk mengisi Tong Sampah biar Sampah Jakarta berasa Sampah Jerman #KarenaSampahJakartaBedaSampahJerman,yang namanya ide keberpihakan ala username username melalui program unggulan oke ngoce melibatkan banyak warga mengisi tong sampah biar sampah jakarta berasa sampah jerman
anger,"Malah Lu harusnya tanya ke IG nya langsung, yang menghapus yg punya akun atau dari kebijakan IGnya? Pastikan... jangan melulu salahkan rezim.... kalau ternyata bukan akibat rezim itu ntar masuknya fitnah.... n",malah kamu harusnya tanya ig nya langsung menghapus  punya akun dari kebijakan ignya pastikan jangan selalu  salahkan rezim kalau ternyata bukan akibat rezim nanti  masuknya fitnah n
sadness,Berharap aku ke dokter dksh salep bwt yg lebam2 biru..eehhh malah dkshnya obat nyeri tablet+vitamin  pdhl tensi darah aku normal 110/70..ttp aja salep mah gak dksh sm dokternya ,berharap ke dokter dikasih  salep buat   lebam birueehhh malah dkshnya obat nyeri tabletvitamin padahal  tensi darah normal tetap   salep mah dikasih  sama  dokternya
